#Wavelength (nm)	Absorption cross-section (cm2/molecule)
268.24	4.23E-19
268.25	4.39E-19
268.26	4.48E-19
268.26	4.57E-19
268.27	4.77E-19
268.28	4.84E-19
268.29	4.97E-19
268.30	5.11E-19
268.30	5.28E-19
268.31	5.33E-19
268.32	5.49E-19
268.33	5.40E-19
268.34	5.35E-19
268.35	5.31E-19
268.35	5.37E-19
268.36	5.43E-19
268.37	5.26E-19
268.38	5.41E-19
268.39	5.50E-19
268.40	5.52E-19
268.40	5.47E-19
268.41	5.45E-19
268.42	5.59E-19
268.43	5.66E-19
268.44	5.59E-19
268.44	5.61E-19
268.45	5.83E-19
268.46	5.90E-19
268.47	6.07E-19
268.48	5.95E-19
268.49	5.97E-19
268.49	5.85E-19
268.50	5.95E-19
268.51	6.07E-19
268.52	6.19E-19
268.53	6.38E-19
268.53	6.54E-19
268.54	6.58E-19
268.55	6.54E-19
268.56	6.39E-19
268.57	6.46E-19
268.58	6.32E-19
268.58	6.23E-19
268.59	6.43E-19
268.60	6.25E-19
268.61	6.48E-19
268.62	6.20E-19
268.63	6.12E-19
268.63	6.25E-19
268.64	6.13E-19
268.65	6.20E-19
268.66	5.96E-19
268.67	6.05E-19
268.67	5.94E-19
268.68	5.91E-19
268.69	5.92E-19
268.70	5.76E-19
268.71	5.64E-19
268.72	5.61E-19
268.72	5.65E-19
268.73	5.72E-19
268.74	5.64E-19
268.75	5.56E-19
268.76	5.54E-19
268.76	5.49E-19
268.77	5.31E-19
268.78	5.10E-19
268.79	5.13E-19
268.80	5.24E-19
268.81	5.25E-19
268.81	5.05E-19
268.82	4.99E-19
268.83	4.93E-19
268.84	4.82E-19
268.85	4.90E-19
268.85	4.79E-19
268.86	4.89E-19
268.87	4.83E-19
268.88	4.72E-19
268.89	4.74E-19
268.90	4.72E-19
268.90	4.58E-19
268.91	4.51E-19
268.92	4.52E-19
268.93	4.45E-19
268.94	4.46E-19
268.95	4.50E-19
268.95	4.51E-19
268.96	4.41E-19
268.97	4.40E-19
268.98	4.40E-19
268.99	4.43E-19
268.99	4.44E-19
269.00	4.50E-19
269.01	4.35E-19
269.02	4.46E-19
269.03	4.49E-19
269.04	4.46E-19
269.04	4.47E-19
269.05	4.44E-19
269.06	4.39E-19
269.07	4.41E-19
269.08	4.45E-19
269.08	4.31E-19
269.09	4.35E-19
269.10	4.48E-19
269.11	4.64E-19
269.12	4.56E-19
269.13	4.46E-19
269.13	4.61E-19
269.14	4.63E-19
269.15	4.63E-19
269.16	4.59E-19
269.17	4.58E-19
269.18	4.52E-19
269.18	4.62E-19
269.19	4.69E-19
269.20	4.75E-19
269.21	4.81E-19
269.22	4.98E-19
269.22	4.89E-19
269.23	4.90E-19
269.24	5.00E-19
269.25	5.19E-19
269.26	5.19E-19
269.27	5.17E-19
269.27	5.37E-19
269.28	5.32E-19
269.29	5.35E-19
269.30	5.42E-19
269.31	5.41E-19
269.31	5.41E-19
269.32	5.32E-19
269.33	5.47E-19
269.34	5.57E-19
269.35	5.38E-19
269.36	5.38E-19
269.36	5.31E-19
269.37	5.04E-19
269.38	5.25E-19
269.39	5.30E-19
269.40	5.22E-19
269.40	4.97E-19
269.41	5.02E-19
269.42	4.95E-19
269.43	4.91E-19
269.44	4.94E-19
269.45	4.86E-19
269.45	4.92E-19
269.46	4.77E-19
269.47	4.70E-19
269.48	4.65E-19
269.49	4.66E-19
269.50	4.52E-19
269.50	4.62E-19
269.51	4.51E-19
269.52	4.55E-19
269.53	4.47E-19
269.54	4.41E-19
269.54	4.31E-19
269.55	4.36E-19
269.56	4.36E-19
269.57	4.29E-19
269.58	4.17E-19
269.59	4.20E-19
269.59	4.31E-19
269.60	4.31E-19
269.61	4.26E-19
269.62	4.16E-19
269.63	4.24E-19
269.63	4.25E-19
269.64	4.27E-19
269.65	4.25E-19
269.66	4.34E-19
269.67	4.43E-19
269.68	4.43E-19
269.68	4.49E-19
269.69	4.57E-19
269.70	4.48E-19
269.71	4.48E-19
269.72	4.44E-19
269.73	4.45E-19
269.73	4.41E-19
269.74	4.48E-19
269.75	4.53E-19
269.76	4.63E-19
269.77	4.75E-19
269.77	4.83E-19
269.78	4.73E-19
269.79	4.94E-19
269.80	4.99E-19
269.81	4.79E-19
269.82	4.78E-19
269.82	4.78E-19
269.83	4.76E-19
269.84	4.72E-19
269.85	4.73E-19
269.86	4.79E-19
269.86	4.75E-19
